drug,info
Penicillin,"Penicillin V is an antibiotic in the penicillin group of drugs. It fights bacteria in your body.Penicillin V is used to treat many different types of infections caused by bacteria, such as ear infections. Penicillin V may also be used for other purposes not listed in this medication guide. Do not use this medication if you are allergic to penicillin V or to any other penicillin antibiotic, such as amoxicillin (Amoxil), ampicillin (Omnipen, Principen), carbenicillin (Geocillin), dicloxacillin (Dycill, Dynapen), or oxacillin (Bactocill)."
Percocet,"Percocet contains a combination of acetaminophen and oxycodone. Oxycodone is an opioid pain medication. An opioid is sometimes called a narcotic. Acetaminophen is a less potent pain reliever that increases the effects of oxycodone.Percocet is used to relieve moderate to severe pain.Due of the risks of addiction, abuse, and misuse, even at recommended doses, Percocet is only prescribed when treatment with non-opioid pain relieving medication has not been tolerated or has not provided adequate pain relief.You should not use Percocet if you have recently used alcohol, sedatives, tranquilizers, or other narcotic medications. Do not use Percocet if you have used a MAO Inhibiter in the past 14 days, such as isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, or tranylcypromine, or have received a methylene blue injection."
Phentermine,"Phentermine is similar to an amphetamine. It stimulates the central nervous system (nerves and brain), which increases your heart rate and blood pressure and decreases your appetite. Phentermine is used together with diet and exercise to treat obesity, especially in people with risk factors such as high blood pressure, high cholesterol, or diabetes. Phentermine may also be used for purposes not listed in this medication guide.Do not use phentermine if you are pregnant or breast-feeding a baby."
Prednisone,"Prednisone is a corticosteroid. It prevents the release of substances in the body that cause inflammation. It also suppresses the immune system. Prednisone is used as an anti-inflammatory or an immunosuppressant medication. Prednisone treats many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders., Prednisone treats many different conditions such as allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, psoriasis, or breathing disorders.You should avoid taking prednisone if you have a fungal infection that requires oral antifungals. Topical antifungals may not be an issue, but always let your doctor know what medicines youre taking before starting Prednisone."
Promethazine,"Promethazine is in a group of drugs called phenothiazines (FEEN-oh-THYE-a-zeens). It works by changing the actions of chemicals in your brain. Promethazine also acts as an antihistamine. It blocks the effects of the naturally occurring chemical histamine in your body. Promethazine is used to treat allergy symptoms such as itching, runny nose, sneezing, itchy or watery eyes, hives, and itchy skin rashes. It also prevents motion sickness, and treats nausea and vomiting or pain after surgery. It is also used as a sedative or sleep aid., Promethazine is not for use in treating symptoms of asthma, pneumonia, or other lower respiratory tract infections. Stop using promethazine and call your doctor at once if you have twitching or uncontrollable movements of your eyes, lips, tongue, face, arms, or legs. These could be early signs of dangerous side effects. Promethazine should not be given to a child younger than 2 years old. Promethazine can cause severe breathing problems or death in a child in very young children. Carefully follow your doctors instructions when giving this medicine to a child of any age."
Propranolol,"Propranolol is a beta-blocker. Beta-blockers affect the heart and circulation (blood flow through arteries and veins).Propranolol is used to treat tremors, angina (chest pain), hypertension (high blood pressure), heart rhythm disorders, and other heart or circulatory conditions. It is also used to treat or prevent heart attack, and to reduce the severity and frequency of migraine headaches. Hemangeol (propranolol oral liquid 4.28 milligrams) is given to infants who are at least 5 weeks old to treat a genetic condition called infantile hemangiomas. Hemangiomas are caused by blood vessels grouping together in an abnormal way. These blood vessels form benign (non-cancerous) growths that can develop into ulcers or red marks on the skin. Hemangiomas can also cause more serious complications inside the body (in the liver, brain, or digestive system). Propranolol may also be used for purposes not listed in this medication guide."
Prozac,"Prozac (fluoxetine) is a selective serotonin reuptake inhibitor (SSRI) antidepressant. Fluoxetine affects chemicals in the brain that may be unbalanced in people with depression, panic, anxiety, or obsessive-compulsive symptoms. Prozac is used to treat major depressive disorder, bulimia nervosa (an eating disorder), obsessive-compulsive disorder, and panic disorder. Prozac is sometimes used together with another medication called olanzapine (Zyprexa) to treat manic depression caused by bipolar disorder. This combination is also used to treat depression after at least 2 other medications have been tried without successful treatment of symptoms. If you also take olanzapine (Zyprexa), read the Zyprexa medication guide and all patient warnings and instructions provided with that medication."
Ranitidine,"Ranitidine belongs to a group of drugs called histamine-2 blockers. It works by reducing the amount of acid your stomach produces. Ranitidine is used to treat and prevent ulcers in the stomach and intestines. It also treats conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome. Ranitidine also treats gastroesophageal reflux disease (GERD) and other conditions in which acid backs up from the stomach into the esophagus, causing heartburn. Using ranitidine may increase your risk of developing pneumonia. Symptoms of pneumonia include chest pain, fever, feeling short of breath, and coughing up green or yellow mucus. Talk with your doctor about your specific risk of developing pneumonia."
Seroquel,Seroquel (quetiapine) is an antipsychotic medicine. It works by changing the actions of chemicals in the brain. Seroquel is used to treat schizophrenia in adults and children who are at least 13 years old. Seroquel is used to treat bipolar disorder (manic depression) in adults and children who are at least 10 years old. Seroquel is also used together with antidepressant medications to treat major depressive disorder in adults.
Sertraline,"Sertraline is an antidepressant in a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Sertraline affects chemicals in the brain that may be unbalanced in people with depression, panic, anxiety, or obsessive-compulsive symptoms. Sertraline is used to treat depression, obsessive-compulsive disorder, anxiety disorders (including panic disorder and social anxiety disorder), post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD).You should not use sertraline if you also take pimozide, or if you are being treated with methylene blue injection. Do not use sertraline if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
Sildenafil,"Sildenafil relaxes muscles of the blood vessels and increases blood flow to particular areas of the body. Sildenafil under the name Viagra is used to treat erectile dysfunction (impotence) in men. Another brand of sildenafil is Revatio, which is used to treat pulmonary arterial hypertension and improve exercise capacity in men and women.Do not take Viagra while also taking Revatio."
Soma,Soma (carisoprodol) is a muscle relaxer that blocks pain sensations between the nerves and the brain.Soma is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury.Soma should only be used for short periods (up to two or three weeks) because there is no evidence of its effectiveness in long term use and most skeletal muscle injuries are generally of short duration.You should not take Soma if you have porphyria (a genetic enzyme disorder that causes symptoms affecting the skin or nervous system) or are allergic to carisoprodol or meprobamate.
Spironolactone,"Spironolactone is a potassium-sparing diuretic (water pill) that prevents your body from absorbing too much salt and keeps your potassium levels from getting too low. Spironolactone is used to treat heart failure, high blood pressure (hypertension), or hypokalemia (low potassium levels in the blood).Spironolactone also treats fluid retention (edema) in people with congestive heart failure, cirrhosis of the liver, or a kidney disorder called nephrotic syndrome.Spironolactone is also used to diagnose or treat a condition in which you have too much aldosterone in your body. Aldosterone is a hormone produced by your adrenal glands to help regulate the salt and water balance in your body."
Suboxone,"Suboxone contains a combination of buprenorphine and naloxone. Buprenorphine is an opioid medication, sometimes called a narcotic. Naloxone blocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse., Suboxone is used to treat narcotic (opiate) addiction. Suboxone is not for use as a pain medication.This medicine can slow or stop your breathing, and may be habit-forming. MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription."
Sudafed PE,"Sudafed PE (phenylephrine) is a decongestant that shrinks blood vessels in the nasal passages. Dilated blood vessels can cause nasal congestion (stuffy nose).Sudafed PE is used to treat stuffy nose and sinus congestion caused by the common cold, hay fever, or other allergies. Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
Tamsulosin,"Tamsulosin (Flomax) is an alpha-blocker that relaxes the muscles in the prostate and bladder neck, making it easier to urinate. Tamsulosin is used to improve urination in men with benign prostatic hyperplasia (enlarged prostate). Tamsulosin is not FDA approved for use in women or children. You should not use this medication if you are allergic to tamsulosin. Do not take tamsulosin with other similar medicines such as alfuzosin (Uroxatral), doxazosin (Cardura), prazosin (Minipress), silodosin (Rapaflo), or terazosin (Hytrin)."
Tizanidine,Tizanidine is a short-acting muscle relaxer. It works by blocking nerve impulses (pain sensations) that are sent to your brain. Tizanidine is used to treat spasticity by temporarily relaxing muscle tone. Tizanidine may also be used for purposes not listed in this medication guide. Tizanidine is a short-acting medication that should be taken only for daily activities that require relief from muscle spasticity.
Toradol,"Toradol (ketorolac) is a nonsteroidal anti-inflammatory drug (NSAID). Ketorolac works by reducing hormones that cause inflammation and pain in the body.Toradol is used short-term (5 days or less) to treat moderate to severe pain.Toradol may also be used for purposes not listed in this medication guide.You should not use Toradol if you have any active or recent bleeding (including bleeding inside your body), a head injury, a stomach ulcer, severe kidney disease, a bleeding or blood-clotting disorder, a history of severe allergic reaction to aspirin or an NSAID, or if you are scheduled to have surgery."
Tramadol,Tramadol is a narcotic-like pain reliever.Tramadol is used to treat moderate to severe pain in adults.The extended-release form of tramadol is for around-the-clock treatment of pain. The extended-release form of tramadol is not for use on an as-needed basis for pain. Seizures have been reported in patients taking tramadol. Your risk of seizures is higher if you are taking higher doses of tramadol over what is recommended. Seizure risk is also higher in those with a seizure disorder or those taking certain antidepressants or opioid medications.
Trazodone,"Trazodone is an antidepressant that belongs to a group of drugs called selective serotonin reuptake inhibitors (SSRIs). It affects chemicals in the brain that may be unbalanced in people with depression.Trazodone is used to treat major depressive disorder.It may help to improve your mood, appetite, and energy level as well as decrease anxiety and insomnia related to depression., Trazodone works by helping to restore the balance of a certain natural chemical (serotonin) in the brain."
Tylenol,"Tylenol (acetaminophen) is a pain reliever and a fever reducer.Tylenol is used to treat many conditions such as headache, muscle aches, arthritis, backache, toothaches, colds, and fevers., Tylenol may also be used for purposes not listed in this medication guide. You should not use Tylenol if you have severe liver disease."
Valium,"Valium (diazepam) is a benzodiazepine (ben-zoe-dye-AZE-eh-peens). Diazepam affects chemicals in the brain that may be unbalanced in people with anxiety.Valium is used to treat anxiety disorders, alcohol withdrawal symptoms, or muscle spasms. Valium is sometimes used with other medications to treat seizures.You should not use Valium if you are allergic to diazepam or similar medicines (Klonopin, Xanax, and others), or if you have myasthenia gravis, severe liver disease, narrow-angle glaucoma, a severe breathing problem, or sleep apnea."
Venlafaxine,"Venlafaxine is an antidepressant belonging to a group of drugs called selective serotonin and norepinephrine reuptake inhibitors (SSNRIs). Venlafaxine affects chemicals in the brain that may be unbalanced in people with depression. Venlafaxine is used to treat major depressive disorder, anxiety and panic disorder. You should not take venlafaxine if you have uncontrolled narrow-angle glaucoma, or if you are being treated with methylene blue injection. Do not use venlafaxine within 7 days before or 14 days after you have used a MAO inhibitor, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
Viagra,"Viagra (sildenafil) relaxes muscles found in the walls of blood vessels and increases blood flow to particular areas of the body. Viagra is used to treat erectile dysfunction (impotence) in men. Another brand of sildenafil is Revatio, which is used to treat pulmonary arterial hypertension and improve exercise capacity in men and women. This page contains specific information for Viagra, not Revatio.Do not take Viagra while also taking Revatio, unless your doctor tells you to. Some medicines can cause unwanted or dangerous effects when used with Viagra. Tell your doctor about all your current medicines, especially riociguat (Adempas) and nitrates."
Vyvanse,"Vyvanse (lisdexamfetamine) is a central nervous system stimulant. It affects chemicals in the brain and nerves that contribute to hyperactivity and impulse control. Vyvanse is FDA-approved to treat attention deficit hyperactivity disorder (ADHD) in adults and in children who are at least 6 years old.Vyvanse is also used to treat moderate to severe binge eating disorder in adults. This medicine is not to be used for obesity or weight loss. Vyvanse may be habit-forming, and this medicine is a drug of abuse. Tell your doctor if you have had problems with drug or alcohol abuse."
Wellbutrin,"The Wellbutrin brand name has been discontinued in the U.S. If generic versions of this product have been approved by the FDA, there may be generic equivalents available. Wellbutrin (bupropion) is an antidepressant medication used to treat major depressive disorder and seasonal affective disorder. Wellbutrin may also be used for purposes not listed in this medication guide. You should not take Wellbutrin if you have seizures, an eating disorder, or if you have suddenly stopped using alcohol, seizure medications, or sedatives. If you take Wellbutrin for depression, do not also take Zyban to quit smoking."
Xanax,"Xanax (alprazolam) is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). Alprazolam affects chemicals in the brain that may be unbalanced in people with anxiety.Xanax is used to treat anxiety disorders, panic disorders, and anxiety caused by depression.Xanax may also be used for purposes not listed in this medication guide. You should not use Xanax if you have narrow-angle glaucoma, if you also take itraconazole or ketoconazole, or if you are allergic to Xanax or similar medicines, such as chlordiazepoxide (Librium), clonazepam (Klonopin), clorazepate (Tranxene), diazepam (Valium), lorazepam (Ativan), or oxazepam (Serax)."
Zantac,"Zantac (ranitidine) belongs to a group of drugs called histamine-2 blockers. Ranitidine works by reducing the amount of acid your stomach produces.Zantac is used to treat and prevent ulcers in the stomach and intestines. It also treats conditions in which the stomach produces too much acid, such as Zollinger-Ellison syndrome. Zantac is also used to treat gastroesophageal reflux disease (GERD) and other conditions in which acid backs up from the stomach into the esophagus, causing heartburn. Using Zantac may increase your risk of developing pneumonia. Symptoms of pneumonia include chest pain, fever, feeling short of breath, and coughing up green or yellow mucus. Talk with your doctor about your specific risk of developing pneumonia."
Zofran,"Zofran (ondansetron) blocks the actions of chemicals in the body that can trigger nausea and vomiting.Zofran is used to prevent nausea and vomiting that may be caused by surgery, cancer chemotherapy, or radiation treatment.Zofran may be used for purposes not listed in this medication guide. You should not use Zofran if you are also using apomorphine (Apokyn)."
Zoloft,"Zoloft (sertraline) is an antidepressant belonging to a group of drugs called selective serotonin reuptake inhibitors (SSRIs). Sertraline affects chemicals in the brain that may be unbalanced in people with depression, panic, anxiety, or obsessive-compulsive symptoms.Zoloft is used to treat depression, obsessive-compulsive disorder, panic disorder, anxiety disorders, post-traumatic stress disorder (PTSD), and premenstrual dysphoric disorder (PMDD). Zoloft may also be used for purposes not listed in this medication guide. You should not use Zoloft if you also take pimozide, or if you are being treated with methylene blue injection."
Zyrtec,"Zyrtec (cetirizine) is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose. Zyrtec is used to treat cold or allergy symptoms such as sneezing, itching, watery eyes, or runny nose. Zyrtec is also used to treat itching and swelling caused by chronic urticaria (hives). Zyrtec may impair your thinking or reactions. Be careful if you drive or do anything that requires you to be alert. Drinking alcohol can increase certain side effects of Zyrtec."
